x,DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode4,DLC_mode5,DLC_mode6,DLC_mode7,DLC_mode8,DLC_mode9,DLC_mode10
0.0010,1.000000000000e+00,9.931936904841e-01,9.870798418941e-01,9.808274635697e-01,9.746068237307e-01,9.684052379007e-01,9.622234895545e-01,9.560615384516e-01,9.499193833296e-01,9.437970303435e-01
0.0011,1.000000000000e+00,9.925133078324e-01,9.857904950479e-01,9.789175265284e-01,9.720816474059e-01,9.652689130082e-01,9.584801847266e-01,9.517154187431e-01,9.449746141289e-01,9.382577781532e-01
0.0012,1.000000000000e+00,9.918329707893e-01,9.845016356879e-01,9.770089251494e-01,9.695590521488e-01,9.621368133810e-01,9.547431481444e-01,9.473780092063e-01,9.400413961481e-01,9.327333175478e-01
0.0013,1.000000000000e+00,9.911526794710e-01,9.832132643731e-01,9.751016607881e-01,9.670390404708e-01,9.590089430665e-01,9.510123857947e-01,9.430493181981e-01,9.351197405759e-01,9.272236630432e-01
0.0014,1.000000000000e+00,9.904724339943e-01,9.819253816638e-01,9.731957348039e-01,9.645216148929e-01,9.558853061316e-01,9.472879036996e-01,9.387293541343e-01,9.302096586933e-01,9.217288292933e-01
0.0015,1.000000000000e+00,9.897922344760e-01,9.806379881214e-01,9.712911485603e-01,9.620067779453e-01,9.527659066618e-01,9.435697079155e-01,9.344181254888e-01,9.253111618723e-01,9.162488310880e-01
0.0016,1.000000000000e+00,9.891120810332e-01,9.793510843085e-01,9.693879034243e-01,9.594945321674e-01,9.496507487619e-01,9.398578045334e-01,9.301156407923e-01,9.204242615746e-01,9.107836833504e-01
0.0017,1.000000000000e+00,9.884319737831e-01,9.780646707891e-01,9.674860007669e-01,9.569848801080e-01,9.465398365551e-01,9.361521996779e-01,9.258219086325e-01,9.155489693501e-01,9.053334011341e-01
0.0018,1.000000000000e+00,9.877519128434e-01,9.767787481281e-01,9.655854419631e-01,9.544778243249e-01,9.434331741834e-01,9.324528995074e-01,9.215369376523e-01,9.106852968351e-01,8.998979996209e-01
0.0019,1.000000000000e+00,9.870718983316e-01,9.754933168920e-01,9.636862283914e-01,9.519733673851e-01,9.403307658071e-01,9.287599102134e-01,9.172607365498e-01,9.058332557512e-01,8.944774941181e-01
0.0020,1.000000000000e+00,9.863919303656e-01,9.742083776483e-01,9.617883614345e-01,9.494715118648e-01,9.372326156048e-01,9.250732380200e-01,9.129933140773e-01,9.009928579040e-01,8.890719000561e-01
0.0021,1.000000000000e+00,9.857120090637e-01,9.729239309656e-01,9.598918424784e-01,9.469722603489e-01,9.341387277731e-01,9.213928891839e-01,9.087346790401e-01,8.961641151811e-01,8.836812329856e-01
0.0022,1.000000000000e+00,9.850321345441e-01,9.716399774140e-01,9.579966729134e-01,9.444756154316e-01,9.310491065266e-01,9.177188699939e-01,9.044848402965e-01,8.913470395511e-01,8.783055085755e-01
0.0023,1.000000000000e+00,9.843523069253e-01,9.703565175645e-01,9.561028541331e-01,9.419815797156e-01,9.279637560977e-01,9.140511867704e-01,9.002438067565e-01,8.865416430620e-01,8.729447426099e-01
0.0024,1.000000000000e+00,9.836725263261e-01,9.690735519896e-01,9.542103875352e-01,9.394901558128e-01,9.248826807364e-01,9.103898458650e-01,8.960115873812e-01,8.817479378400e-01,8.675989509859e-01
0.0025,1.000000000000e+00,9.829927928655e-01,9.677910812628e-01,9.523192745210e-01,9.370013463438e-01,9.218058847103e-01,9.067348536605e-01,8.917881911819e-01,8.769659360875e-01,8.622681497110e-01
0.0026,1.000000000000e+00,9.823131066626e-01,9.665091059587e-01,9.504295164955e-01,9.345151539377e-01,9.187333723041e-01,9.030862165700e-01,8.875736272197e-01,8.721956500823e-01,8.569523549004e-01
