x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.320,4.043369099738e+00,2.533952555174e+01,7.095064963494e+01,1.390368162737e+02,2.298370519726e+02,3.433323916084e+02,4.795370599361e+02,6.384375300664e+02,8.200255664841e+02,1.024334374781e+03
0.322,4.043369547812e+00,2.533952100046e+01,7.095065390217e+01,1.390368540378e+02,2.298369373662e+02,3.433324144580e+02,4.795373742070e+02,6.384370603430e+02,8.200254560718e+02,1.024335462122e+03
0.324,4.043369993423e+00,2.533951641300e+01,7.095065879260e+01,1.390368900977e+02,2.298368206783e+02,3.433324524921e+02,4.795376719386e+02,6.384365636244e+02,8.200254327329e+02,1.024336500100e+03
0.326,4.043370436572e+00,2.533951179138e+01,7.095066429994e+01,1.390369243767e+02,2.298367022769e+02,3.433325055328e+02,4.795379511531e+02,6.384360443230e+02,8.200254967323e+02,1.024337473938e+03
0.328,4.043370877259e+00,2.533950713759e+01,7.095067041726e+01,1.390369568019e+02,2.298365825356e+02,3.433325733303e+02,4.795382099956e+02,6.384355070516e+02,8.200256473392e+02,1.024338369770e+03
0.330,4.043371315486e+00,2.533950245366e+01,7.095067713700e+01,1.390369873042e+02,2.298364618327e+02,3.433326555647e+02,4.795384467471e+02,6.384349565818e+02,8.200258828357e+02,1.024339174843e+03
0.332,4.043371751253e+00,2.533949774159e+01,7.095068445097e+01,1.390370158181e+02,2.298363405500e+02,3.433327518475e+02,4.795386598354e+02,6.384343978022e+02,8.200262005359e+02,1.024339877695e+03
0.334,4.043372184563e+00,2.533949300337e+01,7.095069235036e+01,1.390370422824e+02,2.298362190715e+02,3.433328617228e+02,4.795388478461e+02,6.384338356749e+02,8.200265968171e+02,1.024340468318e+03
0.336,4.043372615416e+00,2.533948824102e+01,7.095070082578e+01,1.390370666397e+02,2.298360977818e+02,3.433329846701e+02,4.795390095314e+02,6.384332751913e+02,8.200270671608e+02,1.024340938304e+03
0.338,4.043373043814e+00,2.533948345651e+01,7.095070986721e+01,1.390370888371e+02,2.298359770655e+02,3.433331201066e+02,4.795391438192e+02,6.384327213280e+02,8.200276062043e+02,1.024341280961e+03
0.340,4.043373469758e+00,2.533947865184e+01,7.095071946409e+01,1.390371088259e+02,2.298358573056e+02,3.433332673897e+02,4.795392498194e+02,6.384321790027e+02,8.200282078015e+02,1.024341491410e+03
0.342,4.043373893250e+00,2.533947382901e+01,7.095072960524e+01,1.390371265617e+02,2.298357388822e+02,3.433334258205e+02,4.795393268306e+02,6.384316530302e+02,8.200288650937e+02,1.024341566654e+03
0.344,4.043374314291e+00,2.533946898997e+01,7.095074027897e+01,1.390371420048e+02,2.298356221714e+02,3.433335946468e+02,4.795393743444e+02,6.384311480803e+02,8.200295705870e+02,1.024341505619e+03
