x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.548,4.042659453333e+00,2.530958991427e+01,7.093884470413e+01,1.389184677858e+02,2.297345775531e+02,3.431582476209e+02,4.791580392855e+02,6.383066029687e+02,8.191724435153e+02,1.024319152373e+03
0.550,4.042671097134e+00,2.530963994813e+01,7.093786871825e+01,1.389215997297e+02,2.297272432420e+02,3.431718153599e+02,4.791375278409e+02,6.383322388886e+02,8.191471728535e+02,1.024334299376e+03
0.552,4.042682621415e+00,2.530969489089e+01,7.093686334199e+01,1.389248009354e+02,2.297198432883e+02,3.431852358144e+02,4.791178528146e+02,6.383555656285e+02,8.191267014316e+02,1.024341147385e+03
0.554,4.042694026684e+00,2.530975471035e+01,7.093582945490e+01,1.389280652124e+02,2.297124014464e+02,3.431984449248e+02,4.790991453750e+02,6.383763761268e+02,8.191112625942e+02,1.024339598924e+03
0.556,4.042705313458e+00,2.530981937272e+01,7.093476796420e+01,1.389313862450e+02,2.297049416050e+02,3.432113796443e+02,4.790815302391e+02,6.383944856548e+02,8.191010323239e+02,1.024329676038e+03
0.558,4.042716482253e+00,2.530988884263e+01,7.093367980392e+01,1.389347576046e+02,2.296974877109e+02,3.432239782394e+02,4.790651248401e+02,6.384097334566e+02,8.190961272347e+02,1.024311519981e+03
0.560,4.042727533589e+00,2.530996308310e+01,7.093256593390e+01,1.389381727619e+02,2.296900636924e+02,3.432361805854e+02,4.790500385447e+02,6.384219841758e+02,8.190966032375e+02,1.024285389204e+03
0.562,4.042738467993e+00,2.531004205564e+01,7.093142733889e+01,1.389416250993e+02,2.296826933825e+02,3.432479284530e+02,4.790363719242e+02,6.384311290569e+02,8.191024549120e+02,1.024251655678e+03
0.564,4.042749285990e+00,2.531012572019e+01,7.093026502755e+01,1.389451079237e+02,2.296754004431e+02,3.432591657871e+02,4.790242160836e+02,6.384370869107e+02,8.191136155588e+02,1.024210799595e+03
0.566,4.042759988114e+00,2.531021403519e+01,7.092908003143e+01,1.389486144794e+02,2.296682082889e+02,3.432698389742e+02,4.790136520545e+02,6.384398048346e+02,8.191299579677e+02,1.024163402542e+03
0.568,4.042770574898e+00,2.531030695760e+01,7.092787340397e+01,1.389521379608e+02,2.296611400127e+02,3.432798970988e+02,4.790047502546e+02,6.384392586825e+02,8.191512958625e+02,1.024110139205e+03
0.570,4.042781046880e+00,2.531040444289e+01,7.092664621945e+01,1.389556715255e+02,2.296542183113e+02,3.432892921862e+02,4.789975700183e+02,6.384354532789e+02,8.191773860256e+02,1.024051767789e+03
0.572,4.042791404602e+00,2.531050644509e+01,7.092539957190e+01,1.389592083076e+02,2.296474654131e+02,3.432979794323e+02,4.789921592014e+02,6.384284223758e+02,8.192079310710e+02,1.023989119199e+03
0.574,4.042801648609e+00,2.531061291681e+01,7.092413457406e+01,1.389627414307e+02,2.296409030069e+02,3.433059174173e+02,4.789885538621e+02,6.384182283536e+02,8.192425828335e+02,1.023923085233e+03
0.576,4.042811779449e+00,2.531072380924e+01,7.092285235624e+01,1.389662640208e+02,2.296345521721e+02,3.433130683037e+02,4.789867780205e+02,6.384049616672e+02,8.192809463360e+02,1.023854605880e+03
0.578,4.042821797672e+00,2.531083907222e+01,7.092155406521e+01,1.389697692202e+02,2.296284333118e+02,3.433193980173e+02,4.789868434986e+02,6.383887400425e+02,8.193225842949e+02,1.023784655925e+03
