x,DLC_mode1,DLC_mode2,DLC_mode3,DLC_mode4,DLC_mode5,DLC_mode6,DLC_mode7,DLC_mode8,DLC_mode9,DLC_mode10
0.3742,2.467299709091e-01,3.940627141029e-01,5.526653804210e-01,-1.177886787547e+00,1.552532958177e+00,-3.579159963356e-01,-4.961718542855e-01,1.540245299380e+00,-1.308865501227e+00,5.376705322615e-01
0.7691,-9.637851160891e-01,-4.912047246618e-01,1.193613010298e+00,1.584407441933e+00,-2.199911770757e-01,-1.349533361731e+00,-3.524862288396e-02,1.296058757789e+00,2.348087412837e-01,-1.333917820902e+00
0.4441,-1.766773609803e-01,1.207434845021e+00,-8.235037502709e-01,6.571094570606e-01,1.499825950524e-01,-3.822672976565e-01,1.081443577987e+00,-1.233122688099e+00,1.514087518349e+00,-1.387757492811e+00
0.4794,-3.318368419543e-01,1.515275348430e+00,-1.211555077579e+00,1.494870124486e+00,-1.079094408826e+00,1.322033539021e+00,-8.934251545586e-01,9.364259511079e-01,-6.269429431996e-01,5.044344305243e-01
0.4328,-8.958497300833e-02,1.170892037099e+00,-6.132928223557e-01,3.639334510500e-01,6.737853536558e-01,-8.624997193826e-01,1.583705875631e+00,-1.420310774173e+00,1.483004683317e+00,-8.928138579047e-01
0.1375,1.470449853577e+00,-6.880148802144e-01,-1.256722095450e+00,-7.278918184756e-01,1.348728802689e-01,6.317250050828e-01,2.668149756146e-01,-5.920697305325e-01,-1.327655207335e+00,-1.339198275825e+00
0.0459,1.470449853577e+00,6.889071774271e-01,4.716968946399e-02,-4.811941181412e-01,-9.028549804720e-01,-1.189919204187e+00,-1.372659677540e+00,-1.416231237664e+00,-1.370907667691e+00,-1.191805886859e+00
0.2514,1.412561358843e+00,-1.067599169677e+00,9.155421694253e-01,1.199074719022e+00,-9.354031747622e-01,-7.730836667654e-01,1.583705875631e+00,1.378709671591e+00,-1.042242114506e+00,-8.473109575646e-01
0.8634,-9.917761001923e-01,-1.065586307245e+00,-5.816058045930e-01,3.832935955904e-01,1.283411000681e+00,1.640238833151e+00,9.718490502236e-01,-2.213396535653e-01,-1.226255736372e+00,-1.367894589170e+00
0.5389,-5.806716778883e-01,1.515275348430e+00,-9.674923871273e-01,9.948561239567e-01,-5.657408144095e-01,4.164565239055e-01,6.713775044252e-02,-3.617780451217e-01,6.754942598899e-01,-9.813680194005e-01
0.1031,1.470449853577e+00,-2.367417345319e-01,-1.100693645546e+00,-1.268263887475e+00,-9.121046788578e-01,-3.008650012437e-01,1.782521902438e-01,3.369446670992e-01,9.776569172185e-02,-4.235875207662e-01
0.3976,7.465928247242e-02,6.729787158754e-01,5.349205326675e-02,-7.365507316158e-01,1.557154733645e+00,-1.238056778975e+00,8.618899217724e-01,2.386186388876e-01,-9.831576187914e-01,1.411692179655e+00
0.2674,9.799682774696e-01,-9.705897562292e-01,8.887340733751e-01,5.266608166341e-01,-1.274863815864e+00,-1.112716042979e-01,1.583705875631e+00,7.317980415454e-03,-1.436655531270e+00,3.433061817418e-01
0.6495,-8.239725676913e-01,1.003470714203e+00,1.539433616897e+00,-1.270232455856e+00,8.940971855768e-01,9.188794075193e-01,-1.374346758420e+00,1.284491961994e+00,3.243823444367e-01,-1.230645381720e+00
0.5109,-4.841061116036e-01,1.515275348430e+00,-1.226865137976e+00,1.456579788046e+00,-1.258469108086e+00,1.450948975494e+00,-1.258303123347e+00,1.268212913538e+00,-1.214569013189e+00,1.048805755150e+00
0.7054,-9.210082681589e-01,6.115985184271e-02,1.539433616897e+00,-1.941364212525e-01,-1.196589858609e+00,8.235618101931e-01,5.544457321226e-01,-1.379704961904e+00,-1.254732862327e-01,9.910434003666e-01
0.2672,9.822258693593e-01,-9.721369085453e-01,8.867682976012e-01,5.323567097363e-01,-1.272770668849e+00,-1.210501722119e-01,1.583705875631e+00,2.168018963131e-02,-1.438812612257e+00,3.275389911180e-01
0.0599,1.470449853577e+00,4.480886625535e-01,-3.211490696517e-01,-8.791867489568e-01,-1.223182318935e+00,-1.356316924069e+00,-1.316959719880e+00,-1.120150879662e+00,-8.503182841204e-01,-5.338898030361e-01
0.6773,-8.855491435328e-01,4.277709696952e-01,1.539433616897e+00,-8.920583537175e-01,-4.130236587033e-01,1.365320734044e+00,-8.198942729131e-01,-7.130217877729e-01,1.272433053049e+00,-6.367387568613e-01
